Author Name,Rating,Review Text,Review Date,Sentiment (Rating-Based),is_duplicate_text,duplicate_same_author,Language,Review Text AR,Sentiment
y. الشراري,5,القهوة لذيذة جدا والمكان رايق، وتعامل الموظفين أكثر من رائع خاصه عبدالحكيم يستحق الزيارة🤍👍🏻,2025-10-17 07:21:24.708000+00:00,Positive,False,False,ar,القهوه لذيذه جدا والمكان رايق، وتعامل الموظفين اكثر من رائع خاصه عبدالحكيم يستحق الزياره,positive
Foodie,5,"One of the best pour over cafes in Riyadh. Well balanced and rich iced pour over. Try their coconut flavored beans 10/10! Nice and friendly staff.
اخذت ايس دريب محصول جوزالهند لذييذ والستاف مؤدب ومتعاون جدًا شكرًا لهم.",2025-10-15 13:58:58.361000+00:00,Positive,False,False,en,من افضل المقاهي في الرياض صب المثلج المتوازن والغني جرب الفول بنكه جوز الهند 10 10 فريق عمل لطيف ودود اخذت ايس دريب محصول جوزالهند لذيذ وستاف مئدب ومتعاون جدا شكرا لكم,positive
Abeer Khalid,5,"الأجواء في شفل جداً راقية وهادئة، بصراحة انبهرت بالتجربة من أول لحظة دخلت فيها. محمصة وكوفي جميل جداً، إن تكلمت عن القهوة فالكلام ماله نهاية لأنها معروفة بجودة عالية ومعايير ثابته ، الايسكريم كان لذيذ والحلا برضو .
بالنسبة للكوفي فهو مو كبير لكن جوّه جميل وهادي
الاستقبال كان جداً حلو، والموظفين كانوا محترفين ويعاملونك بلباقة، خصوصاً الموظفين السعوديين عبدالحكيم وعبدالله احرجونا برقي أخلاقهم ، يحاولون قدر الإمكان يجعلون تجربتك مريحة وسلسة.",2025-10-14 13:05:19.070000+00:00,Positive,False,False,ar,الاجواء في شفل جدا راقيه وهادئه، بصراحه انبهرت بالتجربه من اول لحظه دخلت فيها محمصه وكوفي جميل جدا، ان تكلمت عن القهوه فالكلام ماله نهايه لانها معروفه بجوده عاليه ومعاير ثابته ، الايسكريم كان لذيذ والحلا برضو بالنسبه لكوفي فهو مو كبير لكن جوه جميل وهادي الاستقبال كان جدا حلو، والموظفين كانوا محترفين ويعاملونك بلباقه، خصوصا الموظفين السعودين عبدالحكيم وعبداله احرجونا برقي اخلاقهم ، يحاولون قدر الامكان يجعلون تجربتك مريحه وسلسه,positive
ibtihaj Mohammed,5,مكاني المفضل كل يوم ، الباريستا محمود متعاون جداً ويساعد ومهتم للخدمه ويقدمها لشكل فوق الممتاز.. خياري الاول دائماً شفل ونا جداً ممتنه .. شكراً,2025-10-13 21:54:50.829000+00:00,Positive,False,False,ar,مكاني المفضل كل يوم ، الباريستا محمود متعاون جدا ويساعد ومهتم لخدمه ويقدمها لشكل فوق المتاز خياري الاول دائما شفل ونا جدا متنه شكرا,positive
SALEH ABDULLAH,5,المكان جميل ورايق,2025-10-13 17:03:13.240000+00:00,Positive,False,False,ar,المكان جميل ورايق,positive
خالد القحطاني,2,الكوفي سيء من ناحيه الخدمة والتعامل وغير كذا طلبت من عندهم قهوة مقطرة محصول فاخر وكان الكاشير يقول حلوه وتفرق سعرها عن المحصول الباقي اخذتها مع حلا وتأخر الطلب مره يمكن نص ساعه واخذت الطلب وقالي الباريستا الهندي أنها كولومبي قلت كيف أنا طالب محصول يمني قال خلص والله والكاسيت ما رجع نبهني وقلت فيه فرق سعر أنا أخذت كولومبي رجع لي الباقي قال لا كلها نفس السعر واضح انه جديد وما يفهم وموب فاضي يسجل فاتوره ثانيه ويرجع لي الباقي يمكن موب متدرب بس صراحه لازم توظفون عدد كافي المكان فيه ظغط وكذلك فيه تاخير من الموظفين باردين مره عن نفسي ما رح اكرر التجربه المكان صغير وأسعار الكوفي مبالغ فيها والخدمة والمكان سيء حتى الطاولات الي يتقهون محلي ما يجي واحد ينظف بعده يخلونها بالساعات ولا لازم تنبه عليهم اكثر من مره,2025-10-11 10:10:05.784000+00:00,Negative,False,False,ar,الكوفي سيء من ناحيه الخدمه والتعامل وغير كذا طلبت من عندهم قهوه مقطره محصول فاخر وكان الكاشير يقول حلوه وتفرق سعرها عن المحصول الباقي اخذتها مع حلا وتاخر الطلب مره يمكن نص ساعه واخذت الطلب وقالي الباريستا الهندي انها كولومبي قلت كيف انا طالب محصول يمني قال خلص واله والكاسيت ما رجع نبهني وقلت فيه فرق سعر انا اخذت كولومبي رجع لي الباقي قال لا كلها نفس السعر واضح انه جديد وما يفهم وموب فاضي يسجل فاتوره ثانيه ويرجع لي الباقي يمكن موب متدرب بس صراحه لازم توظفون عد كافي المكان فيه ظغط وكذلك فيه تاخير من الموظفين باردين مره عن نفسي ما رح اكر التجربه المكان صغير واسعار الكوفي مبالغ فيها والخدمه والمكان سيء حتي الطاولات الي يتقهون محلي ما يجي واحد ينظف بعده يخلونها بالساعات ولا لازم تنبه عليهم اكثر من مره,negative
Md Akidul Islam,5,لطيف - جيد,2025-10-09 14:29:40.888000+00:00,Positive,True,False,ar,لطيف جيد,positive
خالد احمد,5,اشكر الاخ الموجود على الكاشير اسلوب وتعامل راقي جدا ربي يسعدك,2025-10-09 10:17:23.681000+00:00,Positive,False,False,ar,اشكر الاخ الموجود علي الكاشير اسلوب وتعامل راقي جدا ربي يسعدك,positive
عبدالعزيز الغامدي,5,اليوم القهوه مجاناً مع مصرف الراجحي,2025-10-09 08:29:02.195000+00:00,Positive,False,False,ar,اليوم القهوه مجانا مع مصرف الراجحي,positive
Sumaiya,5,100,2025-10-06 21:21:10.544000+00:00,Positive,False,False,unknown,10,positive
Abdull Al,1,"قهوة اليوم كل يوم بطعم انت وحظك
كلمت الباريستا قال هذا الموجود
تجربه لن تتكرر قلنا محمصه وشغل مرتب طلع اي كلام",2025-10-06 00:08:12.863000+00:00,Negative,False,False,ar,قهوه اليوم كل يوم بطعم انت وحظك كلمت الباريستا قال هذا الموجود تجربه لن تكر قلنا محمصه وشغل مرتب طلع اي كلام,negative
Naif. K,5,ممتازين الله يوفقهم,2025-10-05 23:38:43.241000+00:00,Positive,False,False,ar,متازين اله يوفقهم,positive
A Shahin,1,ازاج تجميع البن وتلزيق الكراتين لا يمكن احتماله وكان العامل متقصد على هالفعل,2025-10-04 14:41:14.927000+00:00,Negative,False,False,ar,ازاج تجميع البن وتلزيق الكراتين لا يمكن احتماله وكان العامل متقصد علي هالفعل,negative
haifa mohammad,5,المكان والقهوة رائعين.. لكن ازعاج عالي بسبب الموظفين يستخدمون جوالاتهم بصوت مرتفع + صوت جاهز الطلبات الخارجي عالي جداً والموظفين متعودين عليه مايقفلونه.. اتمنى التوفيق لأصحاب القهوة والانتباه للنقاط الي ذكرتها🌹,2025-10-04 08:36:17.054000+00:00,Positive,False,False,ar,المكان والقهوه رائعين لكن ازعاج عالي بسب الموظفين يستخدمون جوالاتهم بصوت مرتفع صوت جاهز الطلبات الخارجي عالي جدا والموظفين متعودين عليه مايقفلونه اتمني التوفيق لاصحاب القهوه والانتباه لنقاط الي ذكرتها,positive
حاتم آل وقيد,5,"من أفضل الكافيهات والله
ما شاء الله كل شيء يفتح النفس
القهوة والحلا و الجلسة
تدخل الكوفي متكدر وتطلع مبسوط",2025-10-03 18:47:15.854000+00:00,Positive,False,False,ar,من افضل الكافيهات واله ما شاء اله كل شيء يفتح النفس القهوه والحلا و الجلسه تدخل الكوفي متكدر وتطلع مبسوط,positive
Kazem Ghazaleh,5,يا له من مقهى رائع، لقد أحببته حقًا، كان اختيار القهوة رائعًا وكذلك المذاق، والخدمة ودودة للغاية، وأعتقد أنني وجدت مكان القهوة المفضل لدي,2025-10-01 05:51:03.909000+00:00,Positive,False,False,ar,يا له من مقهي رائع، لقد احبته حقا، كان اختيار القهوه رائعا وكذلك المذاق، والخدمه ودوده لغايه، واعتقد اني وجدت مكان القهوه المفضل لدي,positive
Md Sakib Khan,5,"خدمة ممتازة... موقع ومساحة رائعان.
جميل.
كم عدد مطاعم البرانش في الرياض؟",2025-09-30 10:07:25.025000+00:00,Positive,False,False,ar,خدمه متازه موقع ومساحه رائعان جميل كم عد مطاعم البرانش في الرياض؟,positive
ox,5,حلو وفخم,2025-09-28 10:39:14.255000+00:00,Positive,False,False,ar,حلو وفخم,positive
Tr.Badoor Tawfiq,5,مافي صابون بحمام النساء والقهوه لذيذه بس شويه مرررااااا والحلى كله مثلج والماتشا شوي ورد ومرميه اي كلااااااام تجربه ماتنعاد اتمنى لكم التطوير للافضل حتى لو زحمه العميل يبغى يتدللع جايين نروق ومانبي شي ناقص 🥲,2025-09-27 13:10:47.172000+00:00,Positive,False,False,ar,مافي صابون بحمام النساء والقهوه لذيذه بس شويه مرا والحلي كله مثلج والماتشا شوي ورد ومرميه اي كلام تجربه ماتنعاد اتمني لكم التطوير لافضل حتي لو زحمه العميل يبغي يتدلع جاين نروق ومانبي شي ناقص,positive
H D,1,مافي اي احترام للزبون اول مادخلت مع عربيه بنتي طلع عامل مستعجل حتى باب كان بيقفل على عربيه  ثانيا الطلب جهز ولا احد بلغنا او وصل لنا الطلب ثالثا قطاعه الكيك أنا شفته يقطع الكيك ويرمي القطاعه في مغسله ويصب مويه بس وياليت يجفف الماء يستخدمها على طول  تجربه جدا سيئه,2025-09-25 20:59:28.946000+00:00,Negative,False,False,ar,مافي اي احترام لزبون اول مادخلت مع عربيه بنتي طلع عامل مستعجل حتي باب كان بيقفل علي عربيه ثانيا الطلب جهز ولا احد بلغنا او وصل لنا الطلب ثالثا قطاعه الكيك انا شفته يقطع الكيك ويرمي القطاعه في مغسله ويصب مويه بس وياليت يجف الماء يستخدمها علي طول تجربه جدا سيئه,negative
Abdullah khalid,5,افضل قهوة وافضل حلى وفعالياتهم باليوم الوطني توسع الصدر 🫡❤️❤️❤️❤️❤️,2025-09-25 10:58:30.234000+00:00,Positive,False,False,ar,افضل قهوه وافضل حلي وفعالياتهم باليوم الوطني توسع الصدر,positive
Aa G,5,فعلاً محل فاخر و ما اخذ قهوتي الا منه و خصوصا الموظف محمود والله انسان عسل و هو الي حببني في الكفي,2025-09-25 00:47:10.446000+00:00,Positive,False,False,ar,فعلا محل فاخر و ما اخذ قهوتي الا منه و خصوصا الموظف محمود واله انسان عسل و هو الي حبني في الكفي,positive
z Ali,5,الموظف محمود ياخي وش أقول و أخلي فيه والله العظيم انه من أفضل المواظفين و البشوشين في هاذي المحمصه والله أنسان جداً لبق و محترم جدًا شكرًا لكم على حسن أختيار المواظفين .❤️,2025-09-25 00:47:07.749000+00:00,Positive,False,False,ar,الموظف محمود ياخي وش اقول و اخلي فيه واله العظيم انه من افضل المواظفين و البشوشين في هاذي المحمصه واله انسان جدا لبق و محترم جدا شكرا لكم علي حسن اختيار المواظفين,positive
ريم البركاني,5,قهوة محمصة شفل بالرياض فريش وطعمها يجنن، والمق تصميمه مره حلو! تجربة رهيبة واكيد بنرجع لهم مره ثانية أكثر شيء أعجبني تحميص البن أمامك، تجربة فريدة لعشاق القهوة. لست من سكان الرياض وجئت لزيارة محمصة شفل لشهرتها، وكانت الزيارة تستحق. شكر خاص للأخ حسن على الاستقبال والخدمة الرائعة والتغليف روعه جدا 👍🏻,2025-09-21 19:33:25.115000+00:00,Positive,False,False,ar,قهوه محمصه شفل بالرياض فريش وطعمها يجن، والمق تصميمه مره حلو تجربه رهيبه واكيد بنرجع لهم مره ثانيه اكثر شيء اعجبني تحميص البن امامك، تجربه فريده لعشاق القهوه لست من سكان الرياض وجئت لزياره محمصه شفل لشهرتها، وكانت الزياره تستحق شكر خاص لاخ حسن علي الاستقبال والخدمه الرائعه والتغليف روعه جدا,positive
