Author Name,Rating,Review Text,Review Date,Sentiment (Rating-Based)
y. الشراري,5,القهوة لذيذة جدا والمكان رايق، وتعامل الموظفين أكثر من رائع خاصه عبدالحكيم يستحق الزيارة🤍👍🏻,2025-10-17 07:21:24.708000+00:00,Positive
Foodie,5,"One of the best pour over cafes in Riyadh. Well balanced and rich iced pour over. Try their coconut flavored beans 10/10! Nice and friendly staff.
اخذت ايس دريب محصول جوزالهند لذييذ والستاف مؤدب ومتعاون جدًا شكرًا لهم.",2025-10-15 13:58:58.361000+00:00,Positive
Abeer Khalid,5,"الأجواء في شفل جداً راقية وهادئة، بصراحة انبهرت بالتجربة من أول لحظة دخلت فيها. محمصة وكوفي جميل جداً، إن تكلمت عن القهوة فالكلام ماله نهاية لأنها معروفة بجودة عالية ومعايير ثابته ، الايسكريم كان لذيذ والحلا برضو .
بالنسبة للكوفي فهو مو كبير لكن جوّه جميل وهادي
الاستقبال كان جداً حلو، والموظفين كانوا محترفين ويعاملونك بلباقة، خصوصاً الموظفين السعوديين عبدالحكيم وعبدالله احرجونا برقي أخلاقهم ، يحاولون قدر الإمكان يجعلون تجربتك مريحة وسلسة.",2025-10-14 13:05:19.070000+00:00,Positive
ibtihaj Mohammed,5,مكاني المفضل كل يوم ، الباريستا محمود متعاون جداً ويساعد ومهتم للخدمه ويقدمها لشكل فوق الممتاز.. خياري الاول دائماً شفل ونا جداً ممتنه .. شكراً,2025-10-13 21:54:50.829000+00:00,Positive
SALEH ABDULLAH,5,المكان جميل ورايق,2025-10-13 17:03:13.240000+00:00,Positive
خالد القحطاني,2,الكوفي سيء من ناحيه الخدمة والتعامل وغير كذا طلبت من عندهم قهوة مقطرة محصول فاخر وكان الكاشير يقول حلوه وتفرق سعرها عن المحصول الباقي اخذتها مع حلا وتأخر الطلب مره يمكن نص ساعه واخذت الطلب وقالي الباريستا الهندي أنها كولومبي قلت كيف أنا طالب محصول يمني قال خلص والله والكاسيت ما رجع نبهني وقلت فيه فرق سعر أنا أخذت كولومبي رجع لي الباقي قال لا كلها نفس السعر واضح انه جديد وما يفهم وموب فاضي يسجل فاتوره ثانيه ويرجع لي الباقي يمكن موب متدرب بس صراحه لازم توظفون عدد كافي المكان فيه ظغط وكذلك فيه تاخير من الموظفين باردين مره عن نفسي ما رح اكرر التجربه المكان صغير وأسعار الكوفي مبالغ فيها والخدمة والمكان سيء حتى الطاولات الي يتقهون محلي ما يجي واحد ينظف بعده يخلونها بالساعات ولا لازم تنبه عليهم اكثر من مره,2025-10-11 10:10:05.784000+00:00,Negative
Md Akidul Islam,5,لطيف - جيد,2025-10-09 14:29:40.888000+00:00,Positive
خالد احمد,5,اشكر الاخ الموجود على الكاشير اسلوب وتعامل راقي جدا ربي يسعدك,2025-10-09 10:17:23.681000+00:00,Positive
عبدالعزيز الغامدي,5,اليوم القهوه مجاناً مع مصرف الراجحي,2025-10-09 08:29:02.195000+00:00,Positive
Sumaiya,5,100,2025-10-06 21:21:10.544000+00:00,Positive
